,0,1,2,3,4
0,-0.617485,-0.10032657,0.33441475,-0.08960407,0.1185973
1,-0.11962139,-0.12064882,0.05305935,-0.016785005,0.08921485
2,-0.89333814,-0.1801614,0.08477472,-1.7706821,1.4905608
3,-0.08076007,0.0730701,0.11743945,0.3445837,-0.851661
4,-0.67267823,0.044918906,0.1655746,0.07031818,0.0051042167
5,0.36357576,-0.1534758,-0.2826687,0.12369575,-0.04121095
6,-0.27906018,-0.42837754,0.29507494,-0.1137616,-0.008132971
7,0.7933773,0.7129933,0.016595297,-0.07969969,-1.0637712
8,0.52545327,0.5597818,-0.11172594,-0.37695774,-0.57525134
9,-0.08879587,-0.062421214,0.0182877,-0.07947504,0.08001437
10,0.73605883,0.8163068,0.019567145,0.19394608,-1.1588137
11,0.5804192,0.65442127,0.03739552,0.11489243,-0.88160074
12,-0.39621234,-0.22320433,-0.08700647,0.2114124,0.37248394
13,-0.5630733,-0.47486216,-0.01691695,-0.3621222,0.91398335
14,-0.4428664,-0.5107437,0.16726983,-0.05655714,0.3960609
15,6.891025,5.3395886,-1.134325,-1.0788323,-3.297916
16,0.020985285,0.11929725,-0.10290755,-0.08808764,0.04611828
17,-0.15480255,0.056293435,-0.2721606,0.21515101,0.0001653127
18,0.05205039,0.029249387,-0.009267247,-0.02832973,0.0120273
19,0.091212526,-0.07470577,0.19504204,-0.26167837,0.16829745
20,0.05291058,-0.32264715,0.46669218,-0.29860002,0.20145363
21,0.045967244,-0.24968597,0.34681818,-0.11039997,0.021841895
22,-0.10518824,0.22411908,-0.00116413,0.07154053,-0.18631403
23,-0.030355044,-0.050316386,0.048321333,0.033159923,-0.01078789
24,-0.17351909,0.008144948,-0.34613952,0.3732354,-0.08627618
25,-0.09604832,0.0767292,-0.012956762,-0.012925173,0.033653397
26,0.08022572,-0.3014606,0.03768349,-0.12861751,0.18670993
27,0.010171683,-0.028719677,-0.020575212,-0.038881138,0.09966878
28,0.045873452,-0.039378997,0.113995075,-0.0026315735,-0.058199733
29,0.052119393,-0.17362686,0.25155973,-0.060411602,-0.009216663
30,-0.17599262,0.053933512,0.15925199,-0.016729828,0.02667837
31,-0.1278551,0.110711664,0.20760621,0.0036929257,-0.057164595
32,-0.10939169,0.03396916,-0.23119393,0.09579047,0.012419779
33,-0.15041801,-0.08718639,-0.07870325,0.18084358,-0.025514403
34,0.0069975667,-0.08999566,0.2882758,0.0544484,-0.17151827
35,-0.0057455245,0.06674171,-0.15892854,-0.0720123,0.124334164
36,0.039119415,0.026357599,-0.5446228,0.27699733,-0.009087035
37,-0.072120175,-0.0830676,0.03831839,0.07493172,-0.040483076
38,0.06493538,-0.019717807,-0.18144844,0.1410187,-0.08540109
39,-0.10526383,0.16236486,-0.0521701,-0.0044904435,0.019551123
40,-0.26414922,-0.1195506,0.18704747,0.10854649,0.012621317
41,-0.09444988,0.07136103,-0.38507402,0.302623,-0.12979127
42,-0.25846943,0.34698552,-0.19743715,-0.1506241,0.14189124
43,0.06485596,-0.021381475,0.25763184,-0.32417774,0.16454825
44,-0.14362475,-0.042688817,0.13169886,0.17185898,-0.12261871
45,0.043035276,-0.026122386,-0.008170016,0.023021348,0.0065678763
46,-0.008821629,0.0720131,-0.076058805,0.024867756,0.037428252
47,-0.09244874,-0.06701819,0.17174007,-0.14645885,0.13346384
48,-0.25290686,0.4859294,-0.15366301,-0.02026481,-0.047077954
49,-0.033322886,0.08483878,-0.15574743,0.053066213,-0.018845554
50,-0.06118633,-0.20376423,0.43466067,-0.028972495,-0.01964634
51,-0.0774071,-0.14694591,0.020933934,0.13959159,-0.029903427
52,-0.08438049,0.064327136,-0.04129142,0.045764085,-0.008917398
53,0.16625862,-0.2860926,0.06343038,-0.04758157,0.13928433
54,-0.03482142,0.113330446,-0.42102924,0.0844034,0.07672169
55,-0.06920961,-0.13798636,-0.13358828,0.1624191,0.058518864
56,0.006708215,-0.084291086,0.613379,-0.47204718,0.12496612
57,0.11822893,-0.022475494,0.09803754,-0.17946762,0.11206506
58,-0.21452935,0.117029384,-0.05970421,0.23225649,-0.12079444
59,-0.10534351,0.07671803,0.14091614,-0.11154343,0.024551254
60,-0.044232387,0.16491735,-0.25923735,0.019888291,-0.0030420544
61,0.15080546,-0.66443425,-0.33797845,-0.0239513,0.53274184
62,-0.1175459,-0.09227884,0.36073643,-0.08893257,0.035400994
63,0.08154782,-0.23167816,0.004304658,0.05475129,0.012596492
64,-0.042179275,-0.04284771,0.09756558,-0.33781782,0.35147744
65,0.14598294,-0.16382134,-0.1307754,0.09458726,0.00058661867
66,0.01763491,0.13281082,0.25092056,-0.15428555,-0.046277646
